designador;coord_raw;lat;lon;ruta;wgs84_calculado
IMOLA;111255,1N 0854802,5W;11.215305555555556;-85.80069444444445;G439;FALSE
AMUBI;113617,7N 0824306,7W;11.604916666666666;-82.71852777777777;A322;FALSE
PULGO;075818,9N 0835402,9W;7.971916666666665;-83.90080555555556;G439;FALSE
TIGIR;082812,9N 0845605,1W;8.470249999999998;-84.93475;G436;FALSE
POXON;083318,5N 0825032,5W;8.555138888888889;-82.8423611111111;A502;FALSE
COTOS;083630,9N 0825817,5W;8.608583333333332;-82.97152777777778;;FALSE
DRAKE;084048,6N 0840001,1W;8.680166666666668;-84.00030555555554;UM659;FALSE
EGODI;085148,0N 0824905,4W;8.863333333333333;-82.81816666666667;UL 655;FALSE
PELDA;090156,0N 0843344,6W;9.032222222222224;-84.56238888888888;G440;FALSE
SELAK;092559,8N 0851240,0W;9.433277777777779;-85.21111111111111;G436;FALSE
COCAL;092640,8N 0841258,5W;9.444666666666668;-84.21625;;FALSE
PAQUI;092815,1N 0841154,5W;9.470861111111113;-84.19847222222222;;FALSE
BOCAS;093101,1N 0841928,0W;9.516972222222225;-84.32444444444444;;FALSE
ELTAS;093108,1N 0835824,5W;9.51891666666667;-83.97347222222223;;FALSE
PARRI;093123,9N 0841905,3W;9.523305555555554;-84.3181388888889;UM659;FALSE
ISEBA;093229,0N 0825212,0W;9.54138888888889;-82.86999999999999;G440;FALSE
JULIE;093235,4N 0841824,1W;9.543166666666664;-84.30669444444443;;FALSE
FINCA;093651,9N 0835339,1W;9.614416666666665;-83.89419444444445;A502;FALSE
SANIG;093918,5N 0841741,1W;9.655138888888889;-84.29475;AD_2.MROC SID  ATENAS 4;FALSE
DOTAS;094122.7N, 0841403.8W;9.689638888888888;-84.2343888888889;AD_2.MROC SID DOTAS;FALSE
ARUMA;094159,8N 0842548,2W;9.699944444444446;-84.43005555555554;;FALSE
TEREL;094415,3N 0841648,5W;9.737583333333333;-84.28013888888889;AD_2.MROC SID  ATENAS 4;FALSE
TARCO;094747,8N 0844221,6W;9.796611111111112;-84.706;;FALSE
BUFEO;094859,5N 0823414,3W;9.816527777777779;-82.5706388888889;A317;FALSE
TEJAR;094915.8 N, 0835710.6 W;9.821055555555557;-83.95294444444444;AD_2.MROC SID  TEJAR;FALSE
CACHI;094916,1N 0834526,0W;9.82113888888889;-83.75722222222223;G440;FALSE
ALTOS;094920,0N 0843027,5W;9.822222222222223;-84.50763888888889;;FALSE
MOGOS;094959,2N 0835407,3W;9.83311111111111;-83.9020277777778;;FALSE
PUXAS;095010N 0843752.4W;9.836111111111112;-84.63122222222222;;FALSE
PARAI;095054,5N 0835013,2W;9.848472222222222;-83.83699999999999;G440;FALSE
ADSOR;095156.4N 0843308.1W;9.865666666666664;-84.55224999999999;;FALSE
BURGO;095240,9N 0842158,0W;9.878027777777776;-84.36611111111111;AD_2.MROC SID ATENAS 4;FALSE
VIVES;095252,2N 0844133,3W;9.881166666666667;-84.69258333333335;;FALSE
VIVER;095331,0N 0835649,5W;9.891944444444444;-83.94708333333334;;FALSE
MATOS;095342.8N 0842823.7W;9.895222222222223;-84.47325;;FALSE
ECOPE;095348,9N 0835628,1W;9.896916666666664;-83.94113888888889;;FALSE
MONLI;095359,2N 0843340,2W;9.899777777777777;-84.56116666666665;;FALSE
COLON;095413.1N 0841408.8W;9.90363888888889;-84.2357777777778;AD-2.MRPV TADAC;FALSE
MOTEL;095431,6N 0840302,0W;9.90877777777778;-84.05055555555555;AD-2.MRPV TADAC;FALSE
CASCA;095436,5N 0843725,1W;9.91013888888889;-84.62363888888888;;FALSE
GARZA;095451,6N 0855938,9W;9.914333333333335;-85.9941388888889;FIR;FALSE
CARBA;095529.0N 0842339.2W;9.924722222222222;-84.39422222222221;ILS;TRUE
ESRIO;095549,5N 0840435,2W;9.930416666666666;-84.07644444444443;G440;FALSE
CURVA;095604,8N 0841421,5W;9.934666666666669;-84.23930555555556;ENR_3_VFRHRC;FALSE
COPEY;095606,4N 0841431,3W;9.93511111111111;-84.24202777777779;AD-2.MRPV TADAC;FALSE
CALDA;095608,8N 0844331,2W;9.935777777777778;-84.72533333333332;;FALSE
BALSE;095609,7N 0842118,4W;9.936027777777777;-84.35511111111111;ENR_3_VFRHRC;FALSE
MATEO;095629,7N 0843141,2W;9.941583333333332;-84.5281111111111;CV C;FALSE
PRESA;095654,4N 0841331,2W;9.948444444444442;-84.22533333333332;ENR_6_PA_LA  REFORMA;FALSE
PALIS;095655,0N 0840813,8W;9.948611111111111;-84.13716666666669;AD-2.MRPV HTP RWY 10/  AD-2.MRPV HTP RWY 28;FALSE
MUNDO;095658,3N 0840934,2W;9.949527777777778;-84.1595;ENR_3_VFRHRC;FALSE
MAVIG;095706.7N 0841917.4W;9.951861111111109;-84.3215;;FALSE
