Aerovia,Sec,Name,Lat,Lon,Alt
LaPalmaIda,1,UNIVE,10.013333333333334,-84.00016666666667,7500.0
LaPalmaIda,2,Guapiles,10.214072591755775,-83.79625881796323,7500.0
